# Portcard          Module                     AOH channel
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR5F_MOD4  A 11
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR6F_MOD1  A 10
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR6F_MOD2  A 6
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR6F_MOD3  A 5
BPix_BpI_SEC2_PRT2 BPix_BpI_SEC2_LYR3_LDR6F_MOD4  A 4
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD1  A 17
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD1  B 16
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD2  A 12
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD2  B 11
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD3  A 10
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD3  B 6
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD4  A 5
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR1_LDR4F_MOD4  B 4
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD1  A 15
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD1  B 14
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD2  A 8
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD2  B 7
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD3  A 1
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD3  B 9
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD4  A 3
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR5F_MOD4  B 2
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD1  A 22
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD1  B 18
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD2  A 24
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD2  B 23
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD3  A 20
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD3  B 19
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD4  A 13
BPix_BpI_SEC3_PRT1 BPix_BpI_SEC3_LYR2_LDR6F_MOD4  B 21
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR7F_MOD1  A 3
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR7F_MOD2  A 2
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR7F_MOD3  A 1
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR7F_MOD4  A 9
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR8F_MOD1  A 8
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR8F_MOD2  A 7
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR8F_MOD3  A 12
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR8F_MOD4  A 11
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR9F_MOD1  A 4
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR9F_MOD2  A 5
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR9F_MOD3  A 6
BPix_BpI_SEC3_PRT2 BPix_BpI_SEC3_LYR3_LDR9F_MOD4  A 10
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD1  A 17
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD1  B 16
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD2  A 12
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD2  B 11
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD3  A 10
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD3  B 6
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD4  A 5
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR1_LDR5F_MOD4  B 4
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD1  A 14
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD1  B 3
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD2  A 15
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD2  B 2
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD3  A 7
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD3  B 1
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD4  A 8
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR7F_MOD4  B 9
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR8F_MOD1  A 22
BPix_BpI_SEC4_PRT1 BPix_BpI_SEC4_LYR2_LDR8F_MOD1  B 18
